Institution of presenter,Talk Title,FirstNameLastNameAbstract.tex file with Talk Title and Abstract,Special Session Title,Presenter,IsSpecialSession,join_key,SessionTime,SessionID,SessionTitle
Florida State University,WoS-NN: Collaborating Walk-on-Spheres with Machine Learning to Solve Ellip- tic PDEs,https://drive.google.com/open?id=19pwOk0cOvnzDZ94SCwK3vAeRXdcg7GBS,"Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science",Silei Song,1,monte carlo applications in high performance computing computer graphics and computational science,"Wed, Jul 30 14:00–16:00",S21,"Track H: Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science"
"Illinois Institute of Technology, Department of Applied Mathematics. Sandia National Laboratories.","Quasi-Monte Carlo Generators, Randomization Routines, and Fast Kernel Methods",https://drive.google.com/open?id=1Tg5JBrp-TjWNJ7HzP_wehvn9neMqUJgq,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II",Aleksei Sorokin,1,hardware or software for quasi monte carlo algorithms part ii,"Fri, Aug 1 09:00–10:30",S29,"Track B: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II"
Technical University of Leoben,Malliavin differentiation of Lipschitz SDEs and BSDEs and an Application to Quadratic Forward-Backward SDEs,https://drive.google.com/open?id=1gKPNBjQDcDSC62IFobsCDuwZe20UJQ9j,"Stochastic Computation and Complexity, Part IV",Alexander Steinicke,1,stochastic computation and complexity part iv,"Tue, Jul 29 15:30–17:30",S12,"Track F: Stochastic Computation and Complexity, Part IV"
RWTH Aachen University,Estimating rare event probabilities associated with McKean--Vlasov SDEs,https://drive.google.com/open?id=161eGcmD-Qqewp05L1q3pt80zpb4nBpzw,Advances in Rare Events Simulation,Shyam Mohan Subbiah Pillai,1,advances in rare events simulation,"Tue, Jul 29 15:30–17:30",S14,Track H: Advances in Rare Events Simulation
Michigan State University,Stacking designs: designing multi-fidelity computer experiments with target predictive accuracy,https://drive.google.com/open?id=12U0rG8iBvcfUuycAg4tM6MpjQe3wW3V5,Statistical Design of Experiments,Chih-Li Sung,1,statistical design of experiments,"Wed, Jul 30 10:30–12:30",S17,Track B: Statistical Design of Experiments
Yamagata University,Quasi-uniform quasi-Monte Carlo lattice point sets,https://drive.google.com/open?id=1JfgTHqEQs3r0snYQ0nE8krB-ACn0Vzd5,QMC and Applications Part II,Kosuke Suzuki,1,qmc and applications part ii,"Thu, Jul 31 15:30–17:30",S25,Track F: QMC and Applications Part II
Georgia Tech,Langevin-Based Sampling under Nonconvex Constraints,https://drive.google.com/open?id=1eoofNCmBWmAlOEdkAXX1IwVGD2jUBFCn,"Analysis of Langevin and Related Sampling Algorithms, Part II",Molei Tao,1,analysis of langevin and related sampling algorithms part ii,"Thu, Jul 31 15:30–17:30",S26,"Track G: Analysis of Langevin and Related Sampling Algorithms, Part II"
KAUST & RWTH AACHEN,Multilevel randomized quasi-Monte Carlo estimator for nested expectations,https://drive.google.com/open?id=1cQNDRbt55wLV0yQKCMO9ykWpCGYMy05m,"Nested expectations: models and estimators, Part II",RAUL TEMPONE,1,nested expectations models and estimators part ii,"Thu, Jul 31 10:30–12:30",S24,"Track C: Nested expectations: models and estimators, Part II"
Inria,Asymptotic robustness of smooth functions of  rare-event estimators,https://drive.google.com/open?id=13P5MlZbmCwU0dinL40twx5fKsORW_Ds1,Advances in Rare Events Simulation,Bruno Tuffin,1,advances in rare events simulation,"Tue, Jul 29 15:30–17:30",S14,Track H: Advances in Rare Events Simulation
Carnegie Mellon University,Convergence rates of kinetic Langevin dynamics with weakly confining potentials,https://drive.google.com/open?id=1bmSLEDzKKa3IzDrbVTSXMmpcOxABGfD5,"Analysis of Langevin and Related Sampling Algorithms, Part I",Lihan Wang,1,analysis of langevin and related sampling algorithms part i,"Thu, Jul 31 10:30–12:30",S23,"Track B: Analysis of Langevin and Related Sampling Algorithms, Part I"
University of Amsterdam,Sharp Characterization and Control of Global Dynamics of SGDs with Heavy Tails,https://drive.google.com/open?id=14cSgvMcpRywSOLsFp-yieB2xk7HJBrdf,Heavy tailed sampling,Xingyu Wang,1,heavy tailed sampling,"Tue, Jul 29 10:30–12:30",S10,Track C: Heavy-tailed Sampling
ETH Zurich,Randomized Splitting Methods and Stochastic Gradient Algorithms,https://drive.google.com/open?id=1Y5sJ9YtTgcO33NABhhVG9RBICe4J-0Yy,"Analysis of Langevin and Related Sampling Algorithms, Part I",Peter Whalley,1,analysis of langevin and related sampling algorithms part i,"Thu, Jul 31 10:30–12:30",S23,"Track B: Analysis of Langevin and Related Sampling Algorithms, Part I"
Shanghai Jiao Tong University,Optimal design of experiments with quantitative-sequence factors,https://drive.google.com/open?id=1ojTHQwDwl0lYTt7hiHYbMs3glYK8ufuu,Statistical Design of Experiments,Qian Xiao,1,statistical design of experiments,"Wed, Jul 30 10:30–12:30",S17,Track B: Statistical Design of Experiments
University of Graz,"Optimal strong approximation of SDEs with H\""older continuous drift coefficient",https://drive.google.com/open?id=1thP90gNMjnoD68iTVN5SmqzhrSBJuFHt,"Stochastic Computation and Complexity, Part IV",Larisa Yaroslavtseva,1,stochastic computation and complexity part iv,"Tue, Jul 29 15:30–17:30",S12,"Track F: Stochastic Computation and Complexity, Part IV"
Free University of Berlin,Domain UQ for stationary and time-dependent PDEs using QMC,https://drive.google.com/open?id=1H3jZES353mEI3ouEZgMRZqCxAecuyNOc,Domain Uncertainty Quantification,André-Alexander Zepernick,1,domain uncertainty quantification,"Mon, Jul 28 10:30–12:30",S2,Track B: Domain Uncertainty Quantification
Rutgers University,Improving the Design of Randomized Experiments via Discrepancy Theory,https://drive.google.com/open?id=17EuslxRMtJT4hLg2_b2zJnB5Gg8dlYmq,Recent Progress on Algorithmic Discrepancy Theory and Applications,Peng Zhang,1,recent progress on algorithmic discrepancy theory and applications,"Wed, Jul 30 14:00–16:00",S20,Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications
"Department of Statistics, Columbia University",A hit and run approach for sampling and analyzing ranking models,https://drive.google.com/open?id=1W8rDNLmZY_vDD4PryE8pkyr7m9bLJ_-f,"Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II",Chenyang Zhong,1,frontiers in quasi monte carlo and markov chain monte carlo methods part ii,"Tue, Jul 29 15:30–17:30",S15,"Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II"
Columbia University,Entropy methods for the delocalization of bias in Langevin Monte Carlo,https://drive.google.com/open?id=1445agTSvpVAX8kAPG0mvMfwuiGB4m1QD,"Analysis of Langevin and Related Sampling Algorithms, Part II.",Fuzhong Zhou,1,analysis of langevin and related sampling algorithms part ii,"Thu, Jul 31 15:30–17:30",S26,"Track G: Analysis of Langevin and Related Sampling Algorithms, Part II"
Duke University,Enhancing Gaussian Process Surrogates for Optimization and Posterior Approximation via Random Exploration,https://drive.google.com/open?id=1cZOL245He_NUp8x8A1DocML3eieXNs2A,Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods,Hwanwoo Kim,1,frontiers in quasi monte carlo and markov chain monte carlo methods,,,
